,GP,MIN per game,AST per game,Passes per game,Total AST,FT Assists per game,Secondary Assists per game,Assist opportunities per game,Points created by assist per game,Points Created by AST Per 48 Min
Player,,,,,,,,,,
Shane Edwards (CLE),2,5.9,0,6.5,0,0.5,0,0,0.5,4.1
Shane Battier (MIA),73,20.2,0.9,25.3,63,0.1,0.5,2.1,2.2,5.3
Shabazz Muhammad (MIN),37,7.9,0.2,4.8,6,0,0.1,0.3,0.4,2.6
Seth Curry (TOTAL),2,6.5,0,7,0,0,0,1.5,0,0
Seth Curry (MEM),1,4.1,0,4,0,0,0,1,0,0
Seth Curry (CLE),1,8.9,0,10,0,0,0,2,0,0
Sergey Karasev (CLE),22,7.1,0.3,7,6,0,0.1,1,0.5,3.7
Serge Ibaka (OKC),81,33.2,1,34.6,85,0.1,0.4,2.3,2.5,3.7
Scotty Hopson (CLE),2,3.4,0.5,4,1,0,0,0.5,1,14.1
Sasha Vujacic (LAC),2,5.3,0,9,0,0,0.5,0.5,0,0
Samuel Dalembert (DAL),80,20.2,0.5,17.5,38,0,0.3,1,1.2,2.8
Ryan Kelly (LAL),59,22.4,1.6,28.7,95,0.1,0.4,3.2,4,8.6
Ryan Hollins (LAC),61,8,0.1,6.6,8,0,0.1,0.3,0.3,1.9
Ryan Gomes (OKC),5,6.9,0.2,7.2,1,0,0.2,0.6,0.6,4.2
Ryan Anderson (NOP),22,36.4,0.8,33.1,17,0,0.5,1.7,1.8,2.3
Russell Westbrook (OKC),46,31,6.9,48.3,319,1,1.6,12.7,16.4,25.4
Rudy Gobert (UTA),45,9.7,0.2,9.5,7,0.1,0.2,0.6,0.4,2
Rudy Gay (SAC),55,34.6,3.1,32.6,169,0.4,0.7,6.2,7,9.7
Rudy Gay (TOTAL),72,34.8,2.9,32.8,209,0.4,0.6,5.9,6.8,9.3
Rudy Gay (TOR),17,35.6,2.4,33.5,40,0.4,0.4,5.2,6,8.1
Royce White (SAC),3,3,0,1.7,0,0,0,0.3,0,0
Royal Ivey (OKC),2,2.4,0,4,0,0,0.5,0,0,0
